Name,Rank,Final Points
Thierry DELARUE,1,51.5
Ethan ZILZ,2,48
Sebastian MENZE,3,41.5
Lee SHAFFER,4,39.5
David KAMMERER,5,36.5
Corey RAMOS,6,36.5
Shuhei YUKI,7,34.5
Keigo TAKAHATA,8,30
